date,team,request_type,team_request_type,volume
2020-08-01 00:00:00,Team B,Request 3,Team B - Request 3,172
2020-08-01 00:00:00,Team A,Request 12,Team A - Request 12,240
2020-08-01 00:00:00,Team A,Request 10,Team A - Request 10,944
2020-08-01 00:00:00,Team A,Request 9,Team A - Request 9,545
2020-08-01 00:00:00,Team A,Request 8,Team A - Request 8,179
2020-08-01 00:00:00,Team A,Request 7,Team A - Request 7,188
2020-08-01 00:00:00,Team A,Request 6,Team A - Request 6,145
2020-08-01 00:00:00,Team A,Request 5,Team A - Request 5,708
2020-08-01 00:00:00,Team A,Request 4,Team A - Request 4,978
2020-08-01 00:00:00,Team A,Request 3,Team A - Request 3,689
2020-08-01 00:00:00,Team A,Request 2,Team A - Request 2,883
2020-08-01 00:00:00,Team A,Request 1,Team A - Request 1,434
2020-08-01 00:00:00,Team A,Request 11,Team A - Request 11,21
2020-08-01 00:00:00,Team B,Request 4,Team B - Request 4,86
2020-08-01 00:00:00,Team C,Request 10,Team C - Request 10,11
2020-08-01 00:00:00,Team B,Request 6,Team B - Request 6,637
2020-08-01 00:00:00,Team B,Request 5,Team B - Request 5,357
2020-08-01 00:00:00,Team C,Request 8,Team C - Request 8,955
2020-08-01 00:00:00,Team C,Request 7,Team C - Request 7,247
2020-08-01 00:00:00,Team C,Request 6,Team C - Request 6,916
2020-08-01 00:00:00,Team C,Request 5,Team C - Request 5,426
2020-08-01 00:00:00,Team C,Request 4,Team C - Request 4,245
2020-08-01 00:00:00,Team C,Request 3,Team C - Request 3,159
2020-08-01 00:00:00,Team C,Request 1,Team C - Request 1,422
2020-08-01 00:00:00,Team B,Request 20,Team B - Request 20,376
2020-08-01 00:00:00,Team B,Request 19,Team B - Request 19,919
2020-08-01 00:00:00,Team B,Request 18,Team B - Request 18,633
2020-08-01 00:00:00,Team C,Request 2,Team C - Request 2,890
2020-08-01 00:00:00,Team B,Request 16,Team B - Request 16,865
2020-08-01 00:00:00,Team B,Request 15,Team B - Request 15,944
2020-08-01 00:00:00,Team B,Request 14,Team B - Request 14,980
2020-08-01 00:00:00,Team B,Request 7,Team B - Request 7,845
2020-08-01 00:00:00,Team B,Request 13,Team B - Request 13,900
2020-08-01 00:00:00,Team B,Request 12,Team B - Request 12,205
2020-08-01 00:00:00,Team B,Request 11,Team B - Request 11,931
2020-08-01 00:00:00,Team B,Request 10,Team B - Request 10,209
2020-08-01 00:00:00,Team B,Request 9,Team B - Request 9,56
2020-08-01 00:00:00,Team B,Request 8,Team B - Request 8,13
2020-08-01 00:00:00,Team B,Request 17,Team B - Request 17,360
2020-09-01 00:00:00,Team D,Request 6,Team D - Request 6,251
2020-09-01 00:00:00,Team D,Request 7,Team D - Request 7,476
2020-09-01 00:00:00,Team D,Request 8,Team D - Request 8,504
2020-09-01 00:00:00,Team D,Request 13,Team D - Request 13,225
2020-09-01 00:00:00,Team D,Request 10,Team D - Request 10,245
2020-09-01 00:00:00,Team D,Request 11,Team D - Request 11,348
2020-09-01 00:00:00,Team D,Request 12,Team D - Request 12,617
2020-09-01 00:00:00,Team D,Request 5,Team D - Request 5,261
2020-09-01 00:00:00,Team D,Request 9,Team D - Request 9,283
2020-09-01 00:00:00,Team D,Request 4,Team D - Request 4,484
2020-09-01 00:00:00,Team C,Request 13,Team C - Request 13,120
2020-09-01 00:00:00,Team D,Request 2,Team D - Request 2,813
2020-09-01 00:00:00,Team D,Request 1,Team D - Request 1,241
2020-09-01 00:00:00,Team C,Request 20,Team C - Request 20,462
2020-09-01 00:00:00,Team C,Request 19,Team C - Request 19,628
2020-09-01 00:00:00,Team C,Request 18,Team C - Request 18,939
2020-09-01 00:00:00,Team C,Request 17,Team C - Request 17,75
2020-09-01 00:00:00,Team C,Request 16,Team C - Request 16,445
2020-09-01 00:00:00,Team C,Request 15,Team C - Request 15,577
2020-09-01 00:00:00,Team C,Request 14,Team C - Request 14,392
2020-09-01 00:00:00,Team D,Request 14,Team D - Request 14,562
2020-09-01 00:00:00,Team D,Request 3,Team D - Request 3,184
2020-09-01 00:00:00,Team D,Request 15,Team D - Request 15,618
2020-09-01 00:00:00,Team E,Request 7,Team E - Request 7,135
2020-09-01 00:00:00,Team D,Request 17,Team D - Request 17,135
2020-09-01 00:00:00,Team C,Request 12,Team C - Request 12,971
2020-09-01 00:00:00,Team E,Request 19,Team E - Request 19,538
2020-09-01 00:00:00,Team E,Request 18,Team E - Request 18,525
2020-09-01 00:00:00,Team E,Request 17,Team E - Request 17,35
2020-09-01 00:00:00,Team E,Request 16,Team E - Request 16,400
2020-09-01 00:00:00,Team E,Request 15,Team E - Request 15,768
2020-09-01 00:00:00,Team E,Request 14,Team E - Request 14,885
2020-09-01 00:00:00,Team E,Request 13,Team E - Request 13,758
2020-09-01 00:00:00,Team E,Request 12,Team E - Request 12,226
2020-09-01 00:00:00,Team E,Request 11,Team E - Request 11,905
2020-09-01 00:00:00,Team D,Request 16,Team D - Request 16,166
2020-09-01 00:00:00,Team E,Request 10,Team E - Request 10,1000
2020-09-01 00:00:00,Team E,Request 8,Team E - Request 8,674
2020-09-01 00:00:00,Team E,Request 6,Team E - Request 6,416
2020-09-01 00:00:00,Team E,Request 5,Team E - Request 5,669
2020-09-01 00:00:00,Team E,Request 4,Team E - Request 4,773
2020-09-01 00:00:00,Team E,Request 3,Team E - Request 3,285
2020-09-01 00:00:00,Team E,Request 2,Team E - Request 2,281
2020-09-01 00:00:00,Team E,Request 1,Team E - Request 1,618
2020-09-01 00:00:00,Team D,Request 20,Team D - Request 20,182
2020-09-01 00:00:00,Team D,Request 19,Team D - Request 19,281
2020-09-01 00:00:00,Team D,Request 18,Team D - Request 18,179
2020-09-01 00:00:00,Team E,Request 9,Team E - Request 9,123
2020-09-01 00:00:00,Team C,Request 11,Team C - Request 11,764
2020-09-01 00:00:00,Team E,Request 20,Team E - Request 20,504
2020-09-01 00:00:00,Team C,Request 9,Team C - Request 9,33
2020-09-01 00:00:00,Team B,Request 2,Team B - Request 2,886
2020-09-01 00:00:00,Team B,Request 1,Team B - Request 1,918
2020-09-01 00:00:00,Team A,Request 20,Team A - Request 20,786
2020-09-01 00:00:00,Team A,Request 19,Team A - Request 19,581
2020-09-01 00:00:00,Team A,Request 18,Team A - Request 18,142
2020-09-01 00:00:00,Team A,Request 17,Team A - Request 17,665
2020-09-01 00:00:00,Team A,Request 16,Team A - Request 16,437
2020-09-01 00:00:00,Team A,Request 15,Team A - Request 15,699
2020-09-01 00:00:00,Team A,Request 14,Team A - Request 14,874
2020-09-01 00:00:00,Team A,Request 13,Team A - Request 13,45
2020-09-01 00:00:00,Team B,Request 3,Team B - Request 3,744
2020-09-01 00:00:00,Team A,Request 12,Team A - Request 12,249
2020-09-01 00:00:00,Team A,Request 10,Team A - Request 10,504
2020-09-01 00:00:00,Team A,Request 9,Team A - Request 9,849
2020-09-01 00:00:00,Team A,Request 8,Team A - Request 8,472
2020-09-01 00:00:00,Team A,Request 7,Team A - Request 7,14
2020-09-01 00:00:00,Team A,Request 6,Team A - Request 6,311
2020-09-01 00:00:00,Team A,Request 5,Team A - Request 5,747
2020-09-01 00:00:00,Team A,Request 4,Team A - Request 4,291
2020-09-01 00:00:00,Team A,Request 3,Team A - Request 3,476
2020-09-01 00:00:00,Team A,Request 2,Team A - Request 2,374
2020-09-01 00:00:00,Team A,Request 1,Team A - Request 1,824
2020-09-01 00:00:00,Team A,Request 11,Team A - Request 11,53
2020-09-01 00:00:00,Team B,Request 4,Team B - Request 4,465
2020-09-01 00:00:00,Team C,Request 10,Team C - Request 10,10
2020-09-01 00:00:00,Team B,Request 6,Team B - Request 6,181
2020-09-01 00:00:00,Team C,Request 8,Team C - Request 8,949
2020-09-01 00:00:00,Team C,Request 7,Team C - Request 7,172
2020-09-01 00:00:00,Team C,Request 6,Team C - Request 6,273
2020-09-01 00:00:00,Team C,Request 5,Team C - Request 5,741
2020-09-01 00:00:00,Team C,Request 4,Team C - Request 4,25
2020-09-01 00:00:00,Team C,Request 3,Team C - Request 3,614
2020-09-01 00:00:00,Team B,Request 5,Team B - Request 5,356
2020-09-01 00:00:00,Team C,Request 1,Team C - Request 1,387
2020-09-01 00:00:00,Team B,Request 20,Team B - Request 20,507
2020-09-01 00:00:00,Team B,Request 19,Team B - Request 19,983
2020-09-01 00:00:00,Team B,Request 18,Team B - Request 18,172
2020-09-01 00:00:00,Team C,Request 2,Team C - Request 2,85
2020-09-01 00:00:00,Team B,Request 16,Team B - Request 16,284
2020-09-01 00:00:00,Team B,Request 15,Team B - Request 15,411
2020-09-01 00:00:00,Team B,Request 14,Team B - Request 14,574
2020-09-01 00:00:00,Team B,Request 13,Team B - Request 13,518
2020-09-01 00:00:00,Team B,Request 12,Team B - Request 12,109
2020-09-01 00:00:00,Team B,Request 11,Team B - Request 11,906
2020-09-01 00:00:00,Team B,Request 10,Team B - Request 10,60
2020-09-01 00:00:00,Team B,Request 9,Team B - Request 9,516
2020-09-01 00:00:00,Team B,Request 8,Team B - Request 8,50
2020-09-01 00:00:00,Team B,Request 7,Team B - Request 7,662
2020-09-01 00:00:00,Team B,Request 17,Team B - Request 17,422
2020-10-01 00:00:00,Team D,Request 5,Team D - Request 5,87
2020-10-01 00:00:00,Team D,Request 6,Team D - Request 6,416
2020-10-01 00:00:00,Team D,Request 7,Team D - Request 7,410
2020-10-01 00:00:00,Team D,Request 8,Team D - Request 8,614
2020-10-01 00:00:00,Team D,Request 13,Team D - Request 13,310
2020-10-01 00:00:00,Team D,Request 10,Team D - Request 10,276
2020-10-01 00:00:00,Team D,Request 11,Team D - Request 11,592
2020-10-01 00:00:00,Team D,Request 12,Team D - Request 12,415
2020-10-01 00:00:00,Team D,Request 9,Team D - Request 9,992
2020-10-01 00:00:00,Team D,Request 4,Team D - Request 4,409
2020-10-01 00:00:00,Team C,Request 12,Team C - Request 12,312
2020-10-01 00:00:00,Team D,Request 2,Team D - Request 2,962
2020-10-01 00:00:00,Team D,Request 1,Team D - Request 1,81
2020-10-01 00:00:00,Team C,Request 20,Team C - Request 20,55
2020-10-01 00:00:00,Team C,Request 19,Team C - Request 19,430
2020-10-01 00:00:00,Team C,Request 18,Team C - Request 18,46
2020-10-01 00:00:00,Team C,Request 17,Team C - Request 17,555
2020-10-01 00:00:00,Team C,Request 16,Team C - Request 16,393
2020-10-01 00:00:00,Team C,Request 15,Team C - Request 15,942
2020-10-01 00:00:00,Team C,Request 14,Team C - Request 14,859
2020-10-01 00:00:00,Team C,Request 13,Team C - Request 13,529
2020-10-01 00:00:00,Team D,Request 14,Team D - Request 14,107
2020-10-01 00:00:00,Team D,Request 3,Team D - Request 3,421
2020-10-01 00:00:00,Team D,Request 15,Team D - Request 15,813
2020-10-01 00:00:00,Team E,Request 7,Team E - Request 7,563
2020-10-01 00:00:00,Team D,Request 17,Team D - Request 17,482
2020-10-01 00:00:00,Team C,Request 11,Team C - Request 11,813
2020-10-01 00:00:00,Team E,Request 19,Team E - Request 19,939
2020-10-01 00:00:00,Team E,Request 18,Team E - Request 18,193
2020-10-01 00:00:00,Team E,Request 17,Team E - Request 17,230
2020-10-01 00:00:00,Team E,Request 16,Team E - Request 16,157
2020-10-01 00:00:00,Team E,Request 15,Team E - Request 15,977
2020-10-01 00:00:00,Team E,Request 14,Team E - Request 14,459
2020-10-01 00:00:00,Team E,Request 13,Team E - Request 13,168
2020-10-01 00:00:00,Team E,Request 12,Team E - Request 12,336
2020-10-01 00:00:00,Team E,Request 11,Team E - Request 11,896
2020-10-01 00:00:00,Team D,Request 16,Team D - Request 16,268
2020-10-01 00:00:00,Team E,Request 10,Team E - Request 10,476
2020-10-01 00:00:00,Team E,Request 8,Team E - Request 8,297
2020-10-01 00:00:00,Team E,Request 6,Team E - Request 6,22
2020-10-01 00:00:00,Team E,Request 5,Team E - Request 5,703
2020-10-01 00:00:00,Team E,Request 4,Team E - Request 4,809
2020-10-01 00:00:00,Team E,Request 3,Team E - Request 3,179
2020-10-01 00:00:00,Team E,Request 2,Team E - Request 2,506
2020-10-01 00:00:00,Team E,Request 1,Team E - Request 1,504
2020-10-01 00:00:00,Team D,Request 20,Team D - Request 20,451
2020-10-01 00:00:00,Team D,Request 19,Team D - Request 19,738
2020-10-01 00:00:00,Team D,Request 18,Team D - Request 18,128
2020-10-01 00:00:00,Team E,Request 9,Team E - Request 9,613
2020-10-01 00:00:00,Team E,Request 20,Team E - Request 20,212
2020-10-01 00:00:00,Team C,Request 10,Team C - Request 10,584
2020-10-01 00:00:00,Team C,Request 8,Team C - Request 8,852
2020-10-01 00:00:00,Team B,Request 1,Team B - Request 1,975
2020-10-01 00:00:00,Team A,Request 20,Team A - Request 20,692
2020-10-01 00:00:00,Team A,Request 19,Team A - Request 19,32
2020-10-01 00:00:00,Team A,Request 18,Team A - Request 18,690
2020-10-01 00:00:00,Team A,Request 17,Team A - Request 17,492
2020-10-01 00:00:00,Team A,Request 16,Team A - Request 16,381
2020-10-01 00:00:00,Team A,Request 15,Team A - Request 15,805
2020-10-01 00:00:00,Team A,Request 14,Team A - Request 14,756
2020-10-01 00:00:00,Team A,Request 12,Team A - Request 12,419
2020-10-01 00:00:00,Team A,Request 11,Team A - Request 11,932
2020-10-01 00:00:00,Team A,Request 10,Team A - Request 10,706
2020-10-01 00:00:00,Team A,Request 9,Team A - Request 9,206
2020-10-01 00:00:00,Team A,Request 8,Team A - Request 8,686
2020-10-01 00:00:00,Team A,Request 7,Team A - Request 7,822
2020-10-01 00:00:00,Team A,Request 6,Team A - Request 6,582
2020-10-01 00:00:00,Team A,Request 5,Team A - Request 5,411
2020-10-01 00:00:00,Team A,Request 4,Team A - Request 4,548
2020-10-01 00:00:00,Team A,Request 3,Team A - Request 3,76
2020-10-01 00:00:00,Team A,Request 2,Team A - Request 2,738
2020-10-01 00:00:00,Team A,Request 1,Team A - Request 1,420
2020-10-01 00:00:00,Team C,Request 9,Team C - Request 9,125
2020-10-01 00:00:00,Team B,Request 2,Team B - Request 2,252
2020-10-01 00:00:00,Team B,Request 3,Team B - Request 3,186
2020-10-01 00:00:00,Team A,Request 13,Team A - Request 13,93
2020-10-01 00:00:00,Team B,Request 5,Team B - Request 5,68
2020-10-01 00:00:00,Team B,Request 4,Team B - Request 4,694
2020-10-01 00:00:00,Team C,Request 6,Team C - Request 6,804
2020-10-01 00:00:00,Team C,Request 5,Team C - Request 5,87
2020-10-01 00:00:00,Team C,Request 4,Team C - Request 4,817
2020-10-01 00:00:00,Team C,Request 3,Team C - Request 3,34
2020-10-01 00:00:00,Team C,Request 2,Team C - Request 2,713
2020-10-01 00:00:00,Team C,Request 1,Team C - Request 1,514
2020-10-01 00:00:00,Team B,Request 20,Team B - Request 20,357
2020-10-01 00:00:00,Team B,Request 19,Team B - Request 19,300
2020-10-01 00:00:00,Team B,Request 18,Team B - Request 18,352
2020-10-01 00:00:00,Team B,Request 17,Team B - Request 17,498
2020-10-01 00:00:00,Team C,Request 7,Team C - Request 7,423
2020-10-01 00:00:00,Team B,Request 15,Team B - Request 15,524
2020-10-01 00:00:00,Team B,Request 16,Team B - Request 16,868
2020-10-01 00:00:00,Team B,Request 7,Team B - Request 7,696
2020-10-01 00:00:00,Team B,Request 8,Team B - Request 8,605
2020-10-01 00:00:00,Team B,Request 9,Team B - Request 9,436
2020-10-01 00:00:00,Team B,Request 10,Team B - Request 10,875
2020-10-01 00:00:00,Team B,Request 6,Team B - Request 6,239
2020-10-01 00:00:00,Team B,Request 12,Team B - Request 12,275
2020-10-01 00:00:00,Team B,Request 13,Team B - Request 13,768
2020-10-01 00:00:00,Team B,Request 14,Team B - Request 14,84
2020-10-01 00:00:00,Team B,Request 11,Team B - Request 11,120
2020-11-01 00:00:00,Team D,Request 5,Team D - Request 5,671
2020-11-01 00:00:00,Team D,Request 12,Team D - Request 12,325
2020-11-01 00:00:00,Team D,Request 11,Team D - Request 11,881
2020-11-01 00:00:00,Team D,Request 10,Team D - Request 10,164
2020-11-01 00:00:00,Team D,Request 9,Team D - Request 9,240
2020-11-01 00:00:00,Team D,Request 8,Team D - Request 8,183
2020-11-01 00:00:00,Team D,Request 13,Team D - Request 13,842
2020-11-01 00:00:00,Team D,Request 7,Team D - Request 7,667
2020-11-01 00:00:00,Team D,Request 6,Team D - Request 6,220
2020-11-01 00:00:00,Team D,Request 4,Team D - Request 4,591
2020-11-01 00:00:00,Team C,Request 18,Team C - Request 18,273
2020-11-01 00:00:00,Team D,Request 2,Team D - Request 2,753
2020-11-01 00:00:00,Team D,Request 1,Team D - Request 1,82
2020-11-01 00:00:00,Team C,Request 20,Team C - Request 20,845
2020-11-01 00:00:00,Team C,Request 19,Team C - Request 19,341
2020-11-01 00:00:00,Team C,Request 17,Team C - Request 17,543
2020-11-01 00:00:00,Team C,Request 16,Team C - Request 16,144
2020-11-01 00:00:00,Team C,Request 15,Team C - Request 15,121
2020-11-01 00:00:00,Team C,Request 14,Team C - Request 14,734
2020-11-01 00:00:00,Team C,Request 13,Team C - Request 13,338
2020-11-01 00:00:00,Team D,Request 14,Team D - Request 14,94
2020-11-01 00:00:00,Team D,Request 3,Team D - Request 3,47
2020-11-01 00:00:00,Team D,Request 16,Team D - Request 16,519
2020-11-01 00:00:00,Team C,Request 12,Team C - Request 12,713
2020-11-01 00:00:00,Team D,Request 18,Team D - Request 18,780
2020-11-01 00:00:00,Team E,Request 20,Team E - Request 20,155
2020-11-01 00:00:00,Team E,Request 19,Team E - Request 19,11
2020-11-01 00:00:00,Team E,Request 18,Team E - Request 18,935
2020-11-01 00:00:00,Team E,Request 17,Team E - Request 17,20
2020-11-01 00:00:00,Team E,Request 16,Team E - Request 16,228
2020-11-01 00:00:00,Team E,Request 15,Team E - Request 15,236
2020-11-01 00:00:00,Team E,Request 14,Team E - Request 14,819
2020-11-01 00:00:00,Team E,Request 13,Team E - Request 13,249
2020-11-01 00:00:00,Team E,Request 12,Team E - Request 12,545
2020-11-01 00:00:00,Team E,Request 11,Team E - Request 11,694
2020-11-01 00:00:00,Team D,Request 17,Team D - Request 17,668
2020-11-01 00:00:00,Team E,Request 10,Team E - Request 10,600
2020-11-01 00:00:00,Team E,Request 8,Team E - Request 8,979
2020-11-01 00:00:00,Team E,Request 7,Team E - Request 7,416
2020-11-01 00:00:00,Team E,Request 6,Team E - Request 6,878
2020-11-01 00:00:00,Team E,Request 5,Team E - Request 5,438
2020-11-01 00:00:00,Team E,Request 4,Team E - Request 4,745
2020-11-01 00:00:00,Team E,Request 3,Team E - Request 3,543
2020-11-01 00:00:00,Team E,Request 2,Team E - Request 2,855
2020-11-01 00:00:00,Team E,Request 1,Team E - Request 1,856
2020-11-01 00:00:00,Team D,Request 20,Team D - Request 20,79
2020-11-01 00:00:00,Team D,Request 19,Team D - Request 19,819
2020-11-01 00:00:00,Team E,Request 9,Team E - Request 9,136
2020-11-01 00:00:00,Team C,Request 11,Team C - Request 11,77
2020-11-01 00:00:00,Team D,Request 15,Team D - Request 15,226
2020-11-01 00:00:00,Team C,Request 9,Team C - Request 9,291
2020-11-01 00:00:00,Team B,Request 3,Team B - Request 3,503
2020-11-01 00:00:00,Team B,Request 2,Team B - Request 2,298
2020-11-01 00:00:00,Team B,Request 1,Team B - Request 1,146
2020-11-01 00:00:00,Team A,Request 20,Team A - Request 20,188
2020-11-01 00:00:00,Team A,Request 19,Team A - Request 19,715
2020-11-01 00:00:00,Team A,Request 18,Team A - Request 18,194
2020-11-01 00:00:00,Team A,Request 17,Team A - Request 17,978
2020-11-01 00:00:00,Team A,Request 16,Team A - Request 16,474
2020-11-01 00:00:00,Team A,Request 15,Team A - Request 15,302
2020-11-01 00:00:00,Team A,Request 14,Team A - Request 14,232
2020-11-01 00:00:00,Team B,Request 4,Team B - Request 4,819
2020-11-01 00:00:00,Team A,Request 13,Team A - Request 13,963
2020-11-01 00:00:00,Team A,Request 11,Team A - Request 11,339
2020-11-01 00:00:00,Team A,Request 10,Team A - Request 10,279
2020-11-01 00:00:00,Team A,Request 9,Team A - Request 9,560
2020-11-01 00:00:00,Team A,Request 8,Team A - Request 8,1000
2020-11-01 00:00:00,Team A,Request 7,Team A - Request 7,863
2020-11-01 00:00:00,Team A,Request 6,Team A - Request 6,55
2020-11-01 00:00:00,Team A,Request 5,Team A - Request 5,336
2020-11-01 00:00:00,Team A,Request 4,Team A - Request 4,547
2020-11-01 00:00:00,Team A,Request 3,Team A - Request 3,388
2020-11-01 00:00:00,Team A,Request 2,Team A - Request 2,133
2020-11-01 00:00:00,Team A,Request 12,Team A - Request 12,872
2020-11-01 00:00:00,Team B,Request 5,Team B - Request 5,748
2020-11-01 00:00:00,Team A,Request 1,Team A - Request 1,576
2020-11-01 00:00:00,Team B,Request 6,Team B - Request 6,258
2020-11-01 00:00:00,Team C,Request 8,Team C - Request 8,662
2020-11-01 00:00:00,Team C,Request 7,Team C - Request 7,886
2020-11-01 00:00:00,Team C,Request 6,Team C - Request 6,895
2020-11-01 00:00:00,Team C,Request 5,Team C - Request 5,779
2020-11-01 00:00:00,Team C,Request 4,Team C - Request 4,104
2020-11-01 00:00:00,Team C,Request 3,Team C - Request 3,231
2020-11-01 00:00:00,Team C,Request 10,Team C - Request 10,216
2020-11-01 00:00:00,Team C,Request 1,Team C - Request 1,212
2020-11-01 00:00:00,Team B,Request 20,Team B - Request 20,450
2020-11-01 00:00:00,Team B,Request 19,Team B - Request 19,295
2020-11-01 00:00:00,Team B,Request 18,Team B - Request 18,559
2020-11-01 00:00:00,Team C,Request 2,Team C - Request 2,321
2020-11-01 00:00:00,Team B,Request 16,Team B - Request 16,941
2020-11-01 00:00:00,Team B,Request 15,Team B - Request 15,722
2020-11-01 00:00:00,Team B,Request 14,Team B - Request 14,715
2020-11-01 00:00:00,Team B,Request 13,Team B - Request 13,413
2020-11-01 00:00:00,Team B,Request 12,Team B - Request 12,880
2020-11-01 00:00:00,Team B,Request 11,Team B - Request 11,330
2020-11-01 00:00:00,Team B,Request 10,Team B - Request 10,77
2020-11-01 00:00:00,Team B,Request 9,Team B - Request 9,596
2020-11-01 00:00:00,Team B,Request 8,Team B - Request 8,77
2020-11-01 00:00:00,Team B,Request 7,Team B - Request 7,598
2020-11-01 00:00:00,Team B,Request 17,Team B - Request 17,206
2020-12-01 00:00:00,Team D,Request 6,Team D - Request 6,183
2020-12-01 00:00:00,Team D,Request 7,Team D - Request 7,315
2020-12-01 00:00:00,Team D,Request 8,Team D - Request 8,696
2020-12-01 00:00:00,Team D,Request 9,Team D - Request 9,707
2020-12-01 00:00:00,Team D,Request 14,Team D - Request 14,344
2020-12-01 00:00:00,Team D,Request 11,Team D - Request 11,900
2020-12-01 00:00:00,Team D,Request 12,Team D - Request 12,45
2020-12-01 00:00:00,Team D,Request 13,Team D - Request 13,135
2020-12-01 00:00:00,Team D,Request 10,Team D - Request 10,174
2020-12-01 00:00:00,Team D,Request 5,Team D - Request 5,393
2020-12-01 00:00:00,Team C,Request 13,Team C - Request 13,492
2020-12-01 00:00:00,Team D,Request 3,Team D - Request 3,477
2020-12-01 00:00:00,Team D,Request 2,Team D - Request 2,825
2020-12-01 00:00:00,Team D,Request 1,Team D - Request 1,965
2020-12-01 00:00:00,Team C,Request 20,Team C - Request 20,609
2020-12-01 00:00:00,Team C,Request 19,Team C - Request 19,64
2020-12-01 00:00:00,Team C,Request 18,Team C - Request 18,255
2020-12-01 00:00:00,Team C,Request 17,Team C - Request 17,469
2020-12-01 00:00:00,Team C,Request 16,Team C - Request 16,678
2020-12-01 00:00:00,Team C,Request 15,Team C - Request 15,707
2020-12-01 00:00:00,Team C,Request 14,Team C - Request 14,440
2020-12-01 00:00:00,Team D,Request 15,Team D - Request 15,760
2020-12-01 00:00:00,Team D,Request 4,Team D - Request 4,895
2020-12-01 00:00:00,Team D,Request 16,Team D - Request 16,291
2020-12-01 00:00:00,Team E,Request 8,Team E - Request 8,874
2020-12-01 00:00:00,Team D,Request 18,Team D - Request 18,591
2020-12-01 00:00:00,Team C,Request 12,Team C - Request 12,566
2020-12-01 00:00:00,Team E,Request 20,Team E - Request 20,546
2020-12-01 00:00:00,Team E,Request 19,Team E - Request 19,723
2020-12-01 00:00:00,Team E,Request 18,Team E - Request 18,437
2020-12-01 00:00:00,Team E,Request 17,Team E - Request 17,708
2020-12-01 00:00:00,Team E,Request 16,Team E - Request 16,832
2020-12-01 00:00:00,Team E,Request 15,Team E - Request 15,681
2020-12-01 00:00:00,Team E,Request 14,Team E - Request 14,843
2020-12-01 00:00:00,Team E,Request 13,Team E - Request 13,124
2020-12-01 00:00:00,Team E,Request 12,Team E - Request 12,29
2020-12-01 00:00:00,Team D,Request 17,Team D - Request 17,96
2020-12-01 00:00:00,Team E,Request 11,Team E - Request 11,434
2020-12-01 00:00:00,Team E,Request 9,Team E - Request 9,164
2020-12-01 00:00:00,Team E,Request 7,Team E - Request 7,790
2020-12-01 00:00:00,Team E,Request 6,Team E - Request 6,478
2020-12-01 00:00:00,Team E,Request 5,Team E - Request 5,830
2020-12-01 00:00:00,Team E,Request 4,Team E - Request 4,768
2020-12-01 00:00:00,Team E,Request 3,Team E - Request 3,475
2020-12-01 00:00:00,Team E,Request 2,Team E - Request 2,155
2020-12-01 00:00:00,Team E,Request 1,Team E - Request 1,99
2020-12-01 00:00:00,Team D,Request 20,Team D - Request 20,506
2020-12-01 00:00:00,Team D,Request 19,Team D - Request 19,344
2020-12-01 00:00:00,Team E,Request 10,Team E - Request 10,874
2020-12-01 00:00:00,Team C,Request 11,Team C - Request 11,796
2020-12-01 00:00:00,Team C,Request 10,Team C - Request 10,672
2020-12-01 00:00:00,Team C,Request 9,Team C - Request 9,56
2020-12-01 00:00:00,Team B,Request 2,Team B - Request 2,576
2020-12-01 00:00:00,Team B,Request 1,Team B - Request 1,195
2020-12-01 00:00:00,Team A,Request 20,Team A - Request 20,452
2020-12-01 00:00:00,Team A,Request 19,Team A - Request 19,41
2020-12-01 00:00:00,Team A,Request 18,Team A - Request 18,994
2020-12-01 00:00:00,Team A,Request 17,Team A - Request 17,213
2020-12-01 00:00:00,Team A,Request 16,Team A - Request 16,113
2020-12-01 00:00:00,Team A,Request 15,Team A - Request 15,583
2020-12-01 00:00:00,Team A,Request 14,Team A - Request 14,697
2020-12-01 00:00:00,Team A,Request 13,Team A - Request 13,254
2020-12-01 00:00:00,Team A,Request 12,Team A - Request 12,267
2020-12-01 00:00:00,Team A,Request 11,Team A - Request 11,304
2020-12-01 00:00:00,Team A,Request 10,Team A - Request 10,73
2020-12-01 00:00:00,Team A,Request 9,Team A - Request 9,150
2020-12-01 00:00:00,Team A,Request 8,Team A - Request 8,648
2020-12-01 00:00:00,Team A,Request 7,Team A - Request 7,246
2020-12-01 00:00:00,Team A,Request 6,Team A - Request 6,929
2020-12-01 00:00:00,Team A,Request 5,Team A - Request 5,985
2020-12-01 00:00:00,Team A,Request 4,Team A - Request 4,343
2020-12-01 00:00:00,Team A,Request 3,Team A - Request 3,29
2020-12-01 00:00:00,Team A,Request 2,Team A - Request 2,844
2020-12-01 00:00:00,Team B,Request 3,Team B - Request 3,673
2020-12-01 00:00:00,Team B,Request 4,Team B - Request 4,260
2020-12-01 00:00:00,Team A,Request 1,Team A - Request 1,480
2020-12-01 00:00:00,Team B,Request 6,Team B - Request 6,322
2020-12-01 00:00:00,Team B,Request 5,Team B - Request 5,614
2020-12-01 00:00:00,Team C,Request 8,Team C - Request 8,786
2020-12-01 00:00:00,Team C,Request 7,Team C - Request 7,798
2020-12-01 00:00:00,Team C,Request 6,Team C - Request 6,679
2020-12-01 00:00:00,Team C,Request 5,Team C - Request 5,224
2020-12-01 00:00:00,Team C,Request 4,Team C - Request 4,38
2020-12-01 00:00:00,Team C,Request 3,Team C - Request 3,533
